"","Yr","Mn","station","CO2_concentration"
"1",2020,3,"alt",419.44
"2",2020,3,"mlo",414.43
"3",2020,3,"kum",416.14
"4",2020,3,"chr",414.06
"5",2020,3,"sam",411.72
"6",2020,3,"ker",409
"7",2020,3,"nzd",408.46
"8",2020,4,"alt",420.43
"9",2020,4,"mlo",416.07
"10",2020,4,"kum",416.91
"11",2020,4,"chr",414.16
"12",2020,4,"sam",412.24
"13",2020,4,"ker",409.88
"14",2020,4,"nzd",409.29
"15",2020,5,"alt",420.16
"16",2020,5,"mlo",417.08
"17",2020,5,"kum",417.59
"18",2020,5,"chr",412.89
"19",2020,5,"sam",411.39
"20",2020,5,"ker",409.73
"21",2020,5,"nzd",409.45
"22",2020,6,"alt",416.75
"23",2020,6,"mlo",416.53
"24",2020,6,"kum",416.3
"25",2020,6,"chr",413.28
"26",2020,6,"sam",410.92
"27",2020,6,"ker",409.9
"28",2020,6,"nzd",409.76
"29",2020,7,"alt",410.18
"30",2020,7,"mlo",414.7
"31",2020,7,"kum",412.24
"32",2020,7,"chr",413.65
"33",2020,7,"sam",410.29
"34",2020,7,"ker",410.25
"35",2020,7,"nzd",410.23
"36",2020,8,"alt",403.4
"37",2020,8,"mlo",412.25
"38",2020,8,"kum",410.87
"39",2020,8,"chr",412.48
"40",2020,8,"sam",411.4
"41",2020,8,"ker",410.62
"42",2020,8,"nzd",410.78
"43",2020,9,"alt",406.85
"44",2020,9,"mlo",411.34
"45",2020,9,"kum",410.47
"46",2020,9,"chr",411.88
"47",2020,9,"sam",411.85
"48",2020,9,"ker",410.94
"49",2020,9,"nzd",411.03
"50",2020,10,"alt",410.7
"51",2020,10,"mlo",411.23
"52",2020,10,"kum",411.36
"53",2020,10,"chr",411.66
"54",2020,10,"sam",412.09
"55",2020,10,"ker",411.32
"56",2020,10,"nzd",410.86
"57",2020,11,"alt",416.44
"58",2020,11,"mlo",412.69
"59",2020,11,"kum",414.4
"60",2020,11,"chr",412.37
"61",2020,11,"sam",412.46
"62",2020,11,"ker",411.84
"63",2020,11,"nzd",410.88
"64",2020,12,"alt",418.15
"65",2020,12,"mlo",414.07
"66",2020,12,"kum",415.91
"67",2020,12,"chr",414.71
"68",2020,12,"sam",414.15
"69",2020,12,"ker",412.39
"70",2020,12,"nzd",410.87
"71",2021,1,"alt",418.75
"72",2021,1,"mlo",415.52
"73",2021,1,"kum",416.75
"74",2021,1,"chr",NA
"75",2021,1,"sam",413.66
"76",2021,1,"ker",NA
"77",2021,1,"nzd",410.75
"78",2021,2,"alt",423.86
"79",2021,2,"mlo",416.67
"80",2021,2,"kum",418.22
"81",2021,2,"chr",NA
"82",2021,2,"sam",413.19
"83",2021,2,"ker",NA
"84",2021,2,"nzd",409.93
"85",2021,3,"alt",422.03
"86",2021,3,"mlo",417.13
"87",2021,3,"kum",418.38
"88",2021,3,"chr",NA
"89",2021,3,"sam",413.58
"90",2021,3,"ker",NA
"91",2021,3,"nzd",410.43
"92",2021,4,"alt",422.08
"93",2021,4,"mlo",419.24
"94",2021,4,"kum",419.95
"95",2021,4,"chr",NA
"96",2021,4,"sam",413.8
"97",2021,4,"ker",NA
"98",2021,4,"nzd",411.6
"99",2021,5,"alt",423.19
"100",2021,5,"mlo",419.47
"101",2021,5,"kum",419.83
"102",2021,5,"chr",NA
"103",2021,5,"sam",414.1
"104",2021,5,"ker",NA
"105",2021,5,"nzd",411.94
"106",2021,6,"alt",420.02
"107",2021,6,"mlo",418.65
"108",2021,6,"kum",419.4
"109",2021,6,"chr",NA
"110",2021,6,"sam",412.36
"111",2021,6,"ker",NA
"112",2021,6,"nzd",412.24
"113",2021,7,"alt",411.45
"114",2021,7,"mlo",416.63
"115",2021,7,"kum",416.11
"116",2021,7,"chr",NA
"117",2021,7,"sam",413.31
"118",2021,7,"ker",NA
"119",2021,7,"nzd",412.95
"120",2021,8,"alt",405.66
"121",2021,8,"mlo",413.96
"122",2021,8,"kum",411.89
"123",2021,8,"chr",NA
"124",2021,8,"sam",413.6
"125",2021,8,"ker",NA
"126",2021,8,"nzd",413.31
"127",2021,9,"alt",406.65
"128",2021,9,"mlo",412.94
"129",2021,9,"kum",412.24
"130",2021,9,"chr",NA
"131",2021,9,"sam",413.37
"132",2021,9,"ker",NA
"133",2021,9,"nzd",413.6
"134",2021,10,"alt",411.99
"135",2021,10,"mlo",413.24
"136",2021,10,"kum",413.36
"137",2021,10,"chr",NA
"138",2021,10,"sam",413.72
"139",2021,10,"ker",NA
"140",2021,10,"nzd",413.32
"141",2021,11,"alt",417.19
"142",2021,11,"mlo",414.85
"143",2021,11,"kum",415.72
"144",2021,11,"chr",NA
"145",2021,11,"sam",414.26
"146",2021,11,"ker",NA
"147",2021,11,"nzd",412.81
"148",2021,12,"alt",420.34
"149",2021,12,"mlo",416.28
"150",2021,12,"kum",417.23
"151",2021,12,"chr",NA
"152",2021,12,"sam",415.03
"153",2021,12,"ker",NA
"154",2021,12,"nzd",413.22
